"cntyvtd","romney","obama","pct_obama","pct_romney","votes_2012","trump","clinton","pct_trump","pct_clinton","votes_2016","pct_latino"
"0292118",1,10,0.909090909090909,0.0909090909090909,11,1,14,0.0666666666666667,0.933333333333333,15,0.968421052631579
"0292120",19,42,0.67741935483871,0.306451612903226,62,17,41,0.283333333333333,0.683333333333333,60,0.372881355932203
"0292121",101,156,0.586466165413534,0.379699248120301,266,102,161,0.362989323843416,0.572953736654804,281,0.771177117711771
"0292122",212,418,0.640122511485452,0.324655436447167,653,182,492,0.249657064471879,0.674897119341564,729,0.539071680376028
"0292123",554,402,0.415289256198347,0.572314049586777,968,578,533,0.483277591973244,0.445652173913043,1196,0.509316770186335
"0292124",186,195,0.502577319587629,0.479381443298969,388,154,232,0.377450980392157,0.568627450980392,408,0.539506172839506
"0292126",297,377,0.53934191702432,0.424892703862661,699,281,443,0.366840731070496,0.578328981723238,766,0.706564986737401
"0292127",724,731,0.49291975724882,0.4881995954147,1483,626,793,0.414844267726972,0.525513585155732,1509,0.534517766497462
"0292128",106,561,0.810693641618497,0.153179190751445,692,145,694,0.164960182025028,0.789533560864619,879,0.930401599127748
"0292131",45,87,0.62589928057554,0.323741007194245,139,68,128,0.31924882629108,0.60093896713615,213,0.647302904564315
"0292132",3,0,0,1,3,0,2,0,1,2,0
"0292133",112,103,0.472477064220183,0.513761467889908,218,90,110,0.422535211267606,0.516431924882629,213,0.475319926873857
"0292134",157,300,0.632911392405063,0.331223628691983,474,174,407,0.270606531881804,0.632970451010886,643,0.680705448802316
"0292135",74,183,0.677777777777778,0.274074074074074,270,83,216,0.260188087774295,0.677115987460815,319,0.775366568914956
"0292136",41,76,0.612903225806452,0.330645161290323,124,37,102,0.253424657534247,0.698630136986301,146,0.820998278829604
"0292137",252,329,0.548333333333333,0.42,600,248,394,0.363103953147877,0.576866764275256,683,0.619775739041794
